,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
15,Shields,Jack,6,22,21,6,3,2,0,1,5,4,0,1,3,0,1,5,.286,.318,.524,.842,22.000,.200,.762,0,0,0,.000,0,1,0,3,11,21.000,.500,82,3.727,3,.136,4,.182,37.50%,37.50%,0,0,13,1,5,10,45.45%,.333,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,13,1,12,0,0,0,1.000,0.0,0,0,0,.000,0,0
16,Kuethe,Jack,6,20,18,2,2,0,0,0,1,1,0,0,3,0,2,4,.111,.200,.111,.311,10.000,.500,.778,2,0,0,.000,0,0,0,0,2,.000,.400,75,3.750,2,.100,3,.150,42.86%,50.00%,0,0,11,1,4,8,40.00%,.143,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,10,6,4,0,1,0,1.000,0.0,0,0,0,.000,0,0
17,Schupp,Demetrius,2,7,5,0,0,0,0,0,1,1,1,0,1,0,1,2,.000,.286,.000,.286,7.000,.500,.600,2,0,0,.000,0,0,0,0,0,.000,.000,28,4.000,2,.286,3,.429,33.33%,66.67%,0,0,5,0,1,4,57.14%,.000,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,5,0,5,0,0,0,1.000,7.0,0,4,0,.000,0,0
18,Van Heuklon,Logan,6,21,12,6,5,1,0,0,1,7,1,0,1,0,8,2,.500,.714,.583,1.298,2.625,4.000,.833,0,1,0,1.000,0,1,0,1,7,.000,.333,86,4.095,2,.095,4,.190,30.00%,60.00%,0,0,5,0,3,12,57.14%,.600,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,25,2,22,1,1,0,.960,13.1,1,6,2,.250,1,0
19,Martinez,Anthony,5,16,15,6,5,0,1,0,3,3,0,0,0,0,1,7,.400,.438,.533,.971,16.000,.143,.533,3,0,0,.000,0,0,0,1,8,.000,.600,60,3.750,2,.125,3,.188,25.00%,25.00%,0,0,8,2,5,10,62.50%,.750,1.0,1,0,1,0,0,1,1,.000,1,3,3,2,2,0,21.000,3.000,7,33,17,16,33.000,4.714,1,.143,0,0,0,0,14.400,.515,3,.429,.667,.333,.000,2.000,0,2,1,1,0,5,2,.061,14.000,.286,1.000,.667,.333,.333,.667,0,1,.000,.200,1,.000,1,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,24,2,22,0,1,0,1.000,0.0,0,0,0,.000,0,0
20,Hake,Jesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,2.1,1,0,0,1,0,0,0,.000,2,2,2,1,1,1,6.000,1.286,11,36,20,16,15.429,3.273,5,.455,2,2,2,2,4.550,.556,5,.455,.600,.000,.200,.429,2,1,0,0,0,9,4,.111,3.000,.091,1.000,.875,.125,.250,.750,2,4,.500,.222,0,.250,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
21,Garard,Nathan,3,8,5,1,1,0,0,0,1,1,0,0,0,0,3,4,.200,.500,.200,.700,2.667,.750,.200,2,0,1,.000,0,0,0,0,1,.000,.250,44,5.500,1,.125,3,.375,0.00%,100.00%,0,0,5,1,0,3,37.50%,1.000,4.0,2,1,0,0,0,0,0,.000,3,0,0,0,5,1,.000,.750,15,53,40,13,13.250,3.533,9,.600,3,3,1,2,1.310,.755,12,.800,.667,.000,.250,.000,4,0,0,0,0,14,8,.151,8.750,.333,.000,.556,.444,.111,.889,1,5,.200,.214,0,.333,3,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,3,0,3,0,0,0,1.000,0.0,0,0,0,.000,0,0
22,Hunt,Wes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,3.2,1,0,1,0,0,0,0,.000,0,0,0,0,3,0,.000,.000,11,33,24,9,9.000,3.000,6,.545,3,3,3,2,1.539,.727,8,.727,1.125,.000,.000,.000,4,0,0,0,0,11,6,.182,5.727,.273,.000,.500,.500,.875,.125,7,1,7.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
25,Hostetler,Karter,5,18,17,5,5,0,0,0,3,3,0,1,2,0,1,3,.294,.333,.294,.627,18.000,.333,.824,1,0,0,.000,0,0,0,0,5,.000,.286,67,3.722,3,.167,4,.222,28.57%,35.71%,0,0,9,3,5,9,50.00%,.357,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,22,0,22,0,0,0,1.000,21.0,0,4,1,.200,0,0
29,McAfee,Evan,1,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,.500,.500,.500,1.000,.000,.000,1.000,0,0,0,.000,0,0,0,0,1,.000,.000,10,5.000,0,.000,1,.500,50.00%,0.00%,0,0,1,0,1,1,50.00%,.500,3.0,2,0,0,0,0,0,0,.000,2,2,2,3,5,0,4.667,1.667,14,65,36,29,21.667,4.643,2,.143,0,0,0,0,2.407,.554,9,.643,.667,.222,.111,1.000,0,1,2,1,0,11,11,.169,11.667,.357,1.667,.833,.167,.333,.667,1,2,.500,.182,0,.333,5,0,0,3,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
